Country,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,23.08045,22.42028,21.770616,21.109753,20.456223,19.79429,19.139517,18.486127,17.845099,17.222792,16.634613,16.077512,15.550792,15.058936,14.59901,14.157362,13.734811,13.330147,12.93389,12.530519,12.118846,11.702546,11.279189,10.855847,10.427358,10.003727,9.586595,9.178992,8.778543,8.3963875,8.026968,7.6771194,7.337743,7.0172264,6.724831,6.4581924,6.2171776,5.9917328,5.779781,5.5657482
Albania,6.902882,6.3702656,5.8906235,5.4751072,5.108977,4.7903236,4.5155663,4.279809,4.0831703,3.9143337,3.762865,3.628957,3.503067,3.380211,3.2532665,3.1215874,2.9894476,2.8549936,2.7181055,2.5799519,2.4380102,2.2930672,2.1459871,1.9982258,1.852108,1.710299,1.576326,1.449259,1.3288301,1.2171888,1.1213959,1.0463393,0.9921585,0.9577139,0.9399676,0.9336709,0.9343905,0.9388104,0.9436108,0.9455919
Algeria,11.895916,10.231719,8.722377,7.469762,6.5290085,5.906419,5.5265247,5.3074306,5.1890125,5.1266342,5.0750546,5.0163063,4.9439194,4.8454037,4.7286903,4.6010914,4.4658356,4.321787,4.168794,4.0096043,3.8487446,3.686668,3.5295784,3.3775715,3.233872,3.0978212,2.9768938,2.8712835,2.7809116,2.7076586,2.6494217,2.6050264,2.5668068,2.530461,2.4924116,2.4483149,2.3979382,2.3451487,2.2897308,2.2335287
Andorra,,,,1.7470982,1.6465841,1.5568161,1.4706718,1.3855739,1.3116703,1.2388692,1.1715163,1.1083739,1.0468692,0.9883878,0.9371487,0.8860851,0.8401645,0.79846597,0.7607158,0.72190647,0.68734803,0.65398355,0.6263718,0.59638205,0.56497664,0.5350325,0.50772347,0.48226094,0.4577037,0.43297067,0.4133691,0.39224598,0.3726689,0.3525385,0.33509343,0.31953647,0.30591354,0.29503987,0.28482692,0.27563622
Angola,23.347865,23.080125,22.848293,22.66265,22.54729,22.472025,22.398886,22.371523,22.350458,22.349579,22.359592,22.365105,22.332356,22.236928,22.085526,21.817664,21.463055,21.033409,20.513585,19.889958,19.193564,18.416428,17.545227,16.619028,15.677907,14.709866,13.753609,12.849971,11.997302,11.221589,10.487527,9.830585,9.2911865,8.833902,8.444892,8.107953,7.796841,7.5038376,7.20743,6.942133
Anguilla,,,,2.2880342,2.1529224,2.021356,1.8997715,1.7843498,1.6770681,1.5781225,1.4834991,1.39886055,1.31808,1.24219265,1.1747762,1.1155777,1.0586763,1.0065033,0.9574438,0.9121242,0.8709389,0.8306437,0.79236016,0.75598884,0.72335258,0.6914109,0.6615219,0.63363757,0.6054546,0.57867513,0.55473294,0.5334102,0.51379447,0.4968792,0.48016686,0.46411967,0.44883976,0.43251305,0.41787753,0.40450935
Antigua and Barbuda,1.4826664,1.4324246,1.3952427,1.3716841,1.35928,1.3583423,1.3661537,1.3831137,1.4062533,1.4369468,1.4720185,1.5089477,1.545313,1.5746082,1.5966976,1.6061256,1.601723,1.5837853,1.5529814,1.51212435,1.4653112,1.4100093,1.3532068,1.2936641,1.2341654,1.1749242,1.1162481,1.0599462,1.0057275,0.9532173,0.902371,0.8554236,0.8125088,0.7749953,0.7427224,0.7119537,0.6843436,0.6592641,0.63583045,0.61445622
Argentina,3.6487263,3.4080456,3.2121212,3.0597618,2.9571547,2.9087084,2.8970627,2.8936049,2.876629,2.8335867,2.7565899,2.6544289,2.5416857,2.4295132,2.3210415,2.2189037,2.1256784,2.041558,1.967534,1.8993898,1.8343107,1.7715715,1.7125633,1.658626,1.611232,1.57214155,1.5365405,1.4963547,1.4476852,1.3927546,1.3342989,1.2748549,1.2168138,1.1593629,1.0968554,1.0253102,0.9450886,0.858049,0.7700813,0.69181986
Armenia,6.784633,6.5136444,6.2585426,6.0104603,5.770723,5.5410816,9.2683914,5.1058926,4.8928963,4.6880936,4.4824368,4.2827168,4.0891983,3.9021553,3.7208073,3.5467297,3.381896,3.2192104,3.0656433,2.9195093,2.776966,2.6406462,2.511088,2.3891434,2.2712976,2.1592825,2.0521208,1.9516354,1.85445,1.7623894,1.675307,1.5914989,1.5137894,1.4407902,1.3711639,1.3044929,1.2424542,1.1825959,1.1262289,1.0721141
Australia,1.2172526,1.18637085,1.1581904,1.1289451,1.0967417,1.0603379,1.0185386,0.9708614,0.9188839,0.8658748,0.8152276,0.76964645,0.73121758,0.700948,0.67736835,0.65926228,0.6446664,0.6314727,0.61872573,0.6075909,0.59861093,0.59091835,0.5825695,0.5720415,0.5584972,0.5417077,0.5218318,0.4998227,0.4766433,0.4535785,0.43171844,0.412573,0.39757013,0.38723328,0.3808726,0.37767508,0.37629104,0.37543573,0.37396815,0.37119224
